fundo_municipal_PC,desp_orcament_PC ,receita_PC,fundo_municipal,desp_orcament,receita
515.88,915.81,1266.94,9996223,17745649,24549433
573.70,939.18,1318.48,9996223,16364291,22973214
287.13,724.22,1271.78,61447266,154986662,272167528
413.48,1024.84,1379.72,18326421,45422931,61151743
585.40,1468.31,1573.56,8330185,20894013,22391817
659.90,3409.90,2335.60,4998111,25826615,17689854
487.83,808.44,1359.28,8330185,13804949,23211149
1712.60,3038.19,4231.05,7794034,13826799,19255521
710.97,1266.50,1803.32,4998111,8903510,12677337
452.45,933.51,1471.57,11662260,24062233,37931241
629.70,1335.97,1746.37,6664148,14138581,18481834
490.25,909.66,1484.63,4998111,9273970,15135779
489.79,1058.24,1493.44,9996223,21597615,30479631
757.52,1163.72,1602.13,4998111,7678206,10570880
327.86,637.56,1002.27,16660371,32398143,50931204
862.94,1530.87,2131.92,7794034,13826799,19255521
584.16,984.59,1557.09,10076814,16984173,26859835
565.58,1157.64,1597.05,9658463,19768934,27272836
571.94,1331.73,1480.03,4741357,11040076,12269452
699.43,1360.88,1751.74,4998111,9724840,12517950
614.85,913.30,1531.10,6717876,9978731,16728771
503.36,941.97,1398.44,10076814,18857231,27995315
904.47,1379.65,1942.96,4998111,7623944,10736776
354.39,1204.38,1850.11,18474159,62784300,96446006
344.24,610.70,850.47,7794034,13826799,19255521
346.40,1123.66,1618.74,16660371,54043711,77854682
612.51,1105.96,1492.63,6664148,12032818,16239820
451.80,801.51,1116.20,7794034,13826799,19255521
468.84,940.49,1195.66,9996223,20052280,25492635
1159.59,1874.70,2674.61,5038407,8145570,11621190
540.70,1081.44,1645.44,6664148,13328775,20280036
212.95,377.78,526.11,7794034,13826799,19255521
514.49,912.72,1271.08,7794034,13826799,19255521
463.01,989.18,1329.12,11662260,24915456,33477800
500.70,1044.59,1482.05,11662260,24330520,34519894
558.51,767.16,1392.57,9996223,13730704,24924186
923.35,1335.87,2076.67,4998111,7231044,11241040
714.32,1174.84,2008.56,4998111,8220368,14053868
1005.16,1783.18,2483.30,7794034,13826799,19255521
899.26,1436.29,2075.38,4998111,7982926,11534984
554.01,1404.06,1799.40,6664148,16889465,21645033
442.80,1033.63,1294.98,9996223,23334257,29234067
1189.46,1841.24,2638.23,4998111,7736877,11085859
489.27,1166.73,1485.20,11662260,27810127,35401269
547.74,869.71,1426.39,9996223,15872141,26031639
432.06,831.81,1237.27,11662260,22452266,33396517
294.19,629.77,1283.35,274404974,587414048,1197043794
528.98,887.20,1365.93,9996223,16765353,25812063
271.11,480.95,669.78,7794034,13826799,19255521
486.01,1019.26,1608.62,4998111,10482088,16543097
362.36,1340.90,1999.64,16660371,61650398,91937331
611.66,878.96,1416.05,8330185,11970513,19285246
1368.60,1823.75,2600.70,4998111,6660319,9497763
315.57,559.83,779.64,7794034,13826799,19255521
486.82,976.03,1385.72,11578963,23214925,32959400
531.19,1022.30,1585.08,8330185,16031769,24857234
947.51,1368.80,2052.43,4998111,7220421,10826566
720.71,1177.77,1766.00,4998111,8167838,12247194
436.69,1042.85,1421.33,11663961,27854648,37963646
646.27,1146.50,1596.64,7794034,13826799,19255521
490.88,803.22,1289.34,9996223,16356697,26256109
588.64,1454.18,1769.64,4998111,12347477,15026005
1008.29,1646.15,2217.83,4998111,8159976,10993787
603.25,1180.56,1501.53,6664148,13041699,16587352
610.72,954.29,1520.49,6664148,10413208,16591605
1524.65,2704.77,3766.73,7794034,13826799,19255521
307.79,735.96,1234.24,21658482,51787823,86850884
489.78,819.06,1458.95,11662260,19502731,34739105
649.27,1076.54,1592.51,6664148,11049610,16345560
587.30,807.39,1206.32,6664148,9161409,13688163
564.26,1056.83,1440.70,8330185,15601921,21269066
673.06,1087.26,1730.40,4998111,8074016,12849969
303.53,884.46,1317.22,18326408,53402152,79531030
581.07,1038.26,1319.20,9996223,17861174,22694218
398.42,1332.55,2203.98,13269382,44380686,73403647
1743.93,2552.56,2943.28,4998111,7315627,8435435
506.06,1534.70,2326.01,11662260,35367172,53602926
480.33,970.37,1300.70,6663148,13460984,18043329
453.64,950.63,1413.85,11662260,24438894,36347135
790.62,3190.17,1898.12,6664148,26889947,15999217
517.03,852.41,1138.84,9996222,16480535,22018419
580.50,1090.59,1726.67,6664148,12519946,19822142
291.94,737.52,1105.49,19992445,50506122,75704750
742.42,1349.40,2123.92,4941550,8981637,14136780
725.31,1404.61,1817.60,4998111,9679199,12525073
333.71,647.17,1244.17,14994334,29078798,55902925
711.07,1261.45,1756.73,7794034,13826799,19255521
743.99,1010.19,1708.66,4998111,6786425,11478747
440.63,1062.24,1445.95,9996233,24097962,32802929
443.36,1100.70,1477.48,13339956,33117987,44454304
240.47,426.60,594.09,7794034,13826799,19255521
350.51,1146.40,1708.28,19129941,62567037,93233042
697.77,1338.85,1690.23,4998111,9590211,12107082
416.38,822.67,1306.93,13328297,26333750,41834947
570.44,1109.62,1587.47,8330185,16203804,23181783
510.78,997.04,1348.18,6664148,13008385,17589747
823.93,1345.32,1727.89,5044088,8236025,10578153
525.56,885.10,1403.89,9996223,16834654,26701898
364.41,1121.61,1268.84,14996390,46156445,52215352
453.75,885.80,1339.66,11662260,22766957,34432057
320.61,884.68,1221.91,19992445,55166937,76195568
459.02,859.21,1391.40,11662260,21829957,35351314
592.02,896.95,1395.44,4923270,7459047,11604519
574.27,1050.26,1263.76,9799263,17921683,21564796
531.91,943.62,1314.10,7794034,13826799,19255521
522.57,782.65,1236.01,8205451,12289108,19407789
521.61,988.87,1433.91,8205451,15555865,22556816
604.51,890.39,1332.97,6564361,9668771,14474755
1036.07,1481.94,2052.59,4767976,6819895,9446017
208.10,745.38,1057.43,29539623,105805838,150101427
462.91,1451.48,1816.29,9846541,30874530,38634404
1226.06,2175.05,3029.03,7794034,13826799,19255521
382.23,679.28,1016.79,13129905,23334102,34927895
456.04,673.92,1053.64,11487631,16976134,26541232
514.09,831.07,1316.93,8205451,13264732,21019551
450.21,611.93,1102.12,11487631,15614130,28121638
593.08,1114.42,1379.46,8279336,15557290,19257316
571.61,1267.11,1564.27,8239193,18264154,22547365
583.06,901.64,1456.26,8205451,12688845,20493988
480.69,693.12,1053.93,4923270,7098929,10794375
576.77,725.37,1112.91,9846541,12383472,18999663
568.15,907.66,1356.44,6564361,10487057,15672345
595.95,676.79,1523.34,6564361,7454873,16779567
555.33,747.33,1220.17,9846541,13250943,21634819
660.04,1228.31,1619.64,4923270,9161937,12080895
597.06,885.96,1420.42,8205451,12175691,19520899
567.80,1238.99,2265.29,6564361,14323964,26189071
349.50,911.30,1245.33,18051992,47069803,64322499
776.61,1377.72,1918.64,7794034,13826799,19255521
750.00,1330.52,1852.92,7794034,13826799,19255521
573.32,975.45,1400.97,4930009,8387902,12046981
573.30,1017.05,1416.37,7794034,13826799,19255521
592.45,740.81,1406.69,8205451,10260199,19482666
490.85,745.36,1164.06,9846541,14951865,23351039
560.65,1044.10,1429.22,6623469,12335008,16884761
332.71,822.42,1196.71,16410901,40565981,59027478
445.30,761.66,1192.74,9434595,16137319,25270590
377.39,1042.23,1335.12,13128721,36257173,46445993
586.79,692.52,1309.17,8207417,9686232,18311376
1234.60,2190.21,3050.14,7794034,13826799,19255521
303.79,840.12,1396.80,41748916,115454551,191957622
603.87,1003.36,1385.40,8219815,13657755,18858113
578.22,1460.55,1791.55,8205451,20726720,25423896
1207.82,2142.69,2983.96,7794034,13826799,19255521
451.72,1112.50,1563.99,9846541,24250222,34091931
512.17,800.50,1361.85,8205451,12824819,21818139
553.08,956.00,1411.65,8205451,14183270,20943193
505.74,897.20,1249.47,7794034,13826799,19255521
552.23,996.90,1476.26,9935203,17935140,26559408
310.22,1040.24,1215.73,19693082,66034530,77174572
649.10,1200.33,1559.44,6564361,12138916,15770595
569.12,1009.62,1406.03,7794034,13826799,19255521
436.53,1414.93,1585.96,6475509,20989013,23526166
446.82,736.84,1099.25,9846541,16237782,24224172
563.90,1033.06,1531.16,6289730,11522772,17078614
459.62,1034.41,1394.95,6564361,14773415,19922654
444.46,662.24,1024.25,4923270,7335635,11345659
612.52,930.52,1504.62,6564361,9972398,16124964
304.84,739.73,1188.47,19693082,47788210,76777841
418.92,743.18,1034.96,7794034,13826799,19255521
502.37,975.83,1371.10,9846541,19126203,26873627
431.11,821.91,1147.66,4923270,9386203,13106303
568.28,928.79,1245.76,9846541,16093200,21585340
409.94,634.28,1051.34,13128721,20313474,33670168
442.82,717.85,1113.75,9846541,15962174,24765283
474.85,884.11,1380.92,4923270,9166402,14317413
481.29,718.61,1075.58,6564361,9801137,14669817
345.38,820.46,1135.14,16410901,38984147,53936338
572.17,832.03,1324.08,9846541,14318375,22786056
533.72,2162.27,3676.07,8205451,33242811,56515946
656.91,1192.70,1674.83,8205451,14897955,20920313
417.16,812.26,1097.33,13128721,25563535,34535320
218.43,1426.19,2569.37,53072901,346520644,624280804
373.19,869.93,1161.08,13128721,30604207,40846908
408.96,866.35,1149.06,11487631,24335909,32277032
295.62,733.63,1260.18,19693082,48871762,83948180
697.59,989.65,1655.12,6564364,9312594,15574718
477.32,733.05,1162.48,11487631,17642431,27977324
406.01,781.45,1036.70,13128721,25268828,33522889
876.23,1554.45,2164.76,7794034,13826799,19255521
93.73,166.27,231.55,7794034,13826799,19255521
496.92,748.92,1070.48,6564361,9893268,14141057
394.26,707.21,1204.40,11007028,19743904,33624573
236.84,420.17,585.13,7794034,13826799,19255521
521.58,764.42,1295.85,8205451,12025873,20386374
572.22,835.80,1340.76,6596019,9634292,15454965
432.24,832.07,1126.34,11487631,22113920,29934649
762.48,1352.65,1883.73,7794034,13826799,19255521
457.59,1081.83,1697.87,9798804,23166396,36358091
553.24,1373.69,1687.09,4923270,12224459,15013396
404.78,846.21,1217.76,11487631,24015395,34560018
303.25,828.24,1139.50,19693082,53785628,73999067
452.54,833.11,1172.96,11498190,21167538,29802497
1884.87,1809.32,3246.31,4923270,4725941,8479362
321.30,725.61,1140.02,16410901,37061835,58228636
556.74,957.55,1273.65,4923270,8467656,11262844
458.12,812.72,1131.81,7794034,13826799,19255521
617.06,1004.50,1448.98,6623469,10782329,15553386
406.46,758.46,1017.28,13128721,24498220,32858117
520.82,914.67,1301.73,8205451,14410587,20508765
469.69,949.97,1218.82,9846541,19915270,25551315
542.42,1091.90,1691.17,9846541,19821208,30699747
482.89,690.35,1057.53,9846541,14076973,21564139
435.69,772.92,1076.39,7794034,13826799,19255521
317.43,686.14,975.62,19693082,42567923,60527640
381.36,569.39,1039.41,11487631,17151814,31310050
416.87,930.29,1373.07,9846541,21973534,32431885
582.70,739.68,1385.99,9846541,12499080,23420536
1055.82,1368.52,2023.35,4923270,6381387,9434877
512.82,732.36,1244.58,11487631,16405564,27879842
954.22,1692.80,2357.43,7794034,13826799,19255521
573.53,1138.40,1529.29,8205451,16287084,21879566
576.97,4857.99,1401.30,9846541,82906534,23914514
420.13,1503.47,1860.97,13128721,46982049,58153496
601.75,903.36,1436.14,8205451,12318194,19583177
976.65,1379.82,1968.13,4923270,6955677,9921358
491.20,1009.45,1306.47,9846541,20235338,26189404
617.88,893.77,1430.48,8205451,11869220,18996759
308.02,711.71,1010.66,18051992,41710687,59230652
408.13,909.61,1425.23,13128721,29260177,45846704
607.20,1077.19,1500.12,7794034,13826799,19255521
260.34,983.49,1331.29,17296758,65343222,88450848
578.10,963.95,1453.88,6564361,10945633,16508809
1271.32,1691.70,2165.83,4925085,6553652,8390435
619.51,998.41,1350.42,4923270,7934380,10731823
327.95,581.79,810.21,7794034,13826799,19255521
370.43,988.81,1332.99,14769811,39425794,53148843
410.90,1031.43,1978.47,13478316,33833064,64897641
320.70,807.14,1074.18,18051992,45433009,60464240
77.79,138.00,192.18,7794034,13826799,19255521
534.48,862.95,1283.20,9434595,15232846,22651011
796.13,975.06,1643.02,4923270,6029781,10160449
95.34,405.96,909.52,53072901,225973777,506279390
490.17,706.61,1331.02,8205451,11828596,22281296
914.43,1196.53,1687.80,4923270,6442112,9087106
615.79,950.71,1272.75,6564361,10134519,13567543
437.08,1388.14,1954.29,9846541,31271909,44026251
434.71,727.30,1160.39,13187221,22063450,35201482
1079.43,1288.73,1954.05,4923270,5877902,8912430
618.00,942.38,1112.92,6564361,10009994,11821483
544.29,988.79,1543.73,8205724,14907064,23273200
932.64,1654.52,2304.12,7794034,13826799,19255521
496.85,965.65,1286.84,9846541,19137332,25502600
472.85,915.34,1082.79,4923270,9530500,11274011
270.62,693.48,969.11,21334172,54668754,76398113
444.24,788.18,1196.98,9846541,17470102,26531000
622.00,727.40,1408.44,8205451,9595803,18580148
446.36,915.86,1349.38,11487631,23570668,34727661
489.29,1037.25,1327.84,4923270,10436761,13360683
473.29,985.17,1200.58,11487631,23912009,29140393
474.80,957.77,1603.41,8205451,16552261,27710138
519.83,836.74,1296.34,8205451,13207953,20462793
578.94,857.98,1214.65,9846541,14592516,20658792
579.03,859.53,1237.49,8205451,12180384,17536508
1011.77,955.06,1664.12,4923270,4647304,8097626
508.65,887.06,1512.68,11494555,20045874,34183458
618.81,1511.12,1728.11,4923270,12022447,13748848
606.43,1289.29,1538.47,11487631,24422957,29143258
529.11,932.37,1225.49,8205451,14459143,19004942
551.95,842.65,1293.08,9846750,15032917,23068589
451.84,787.22,1195.66,11487631,20014289,30398467
1483.17,2631.17,3664.23,7794034,13826799,19255521
539.65,1022.42,1366.61,8205451,15545962,20779357
584.13,1036.26,1443.12,7794034,13826799,19255521
447.34,893.75,1145.54,11498754,22973883,29446083
288.07,952.70,1122.81,53072901,175521044,206861298
361.61,758.13,1076.10,13128721,27524548,39068847
518.34,1176.32,1635.93,7946627,18034086,25080391
335.00,767.57,999.23,14870546,34072394,44356034
331.85,776.67,1014.59,19693082,46089798,60208890
530.24,853.88,1268.77,4923270,7928286,11780529
568.38,1245.04,1581.28,3979811,8717766,11072091
684.36,1089.46,1636.64,8205451,13062640,19623254
508.28,863.65,1275.33,11487631,19519257,28823756
418.25,968.03,1206.74,11487631,26587899,33144433
297.93,826.57,1392.39,19717265,54703440,92149738
404.64,986.30,1300.73,11487631,28001034,36927721
319.53,709.50,1123.97,19693082,43727264,69271681
38.08,67.56,94.08,7794034,13826799,19255521
472.39,948.20,1228.74,11487631,23058426,29880549
522.25,926.48,1290.24,7794034,13826799,19255521
597.20,1059.44,1475.41,7794034,13826799,19255521
540.08,1304.38,1715.39,8205451,19817395,26061865
692.44,1530.11,1800.32,4923270,10879096,12800277
501.44,1015.95,1404.96,6623469,13419733,18558128
673.59,1076.46,1604.06,4923270,7867822,11724056
467.08,986.97,1282.92,9846541,20806410,27045281
312.25,873.26,1094.42,19693082,55075556,69024268
622.96,1348.10,1839.97,4923270,10654044,14541268
568.61,922.44,1307.56,13128721,21298157,30190201
647.97,1069.81,1642.92,4923270,8128415,12482937
479.68,921.41,1249.26,9697148,18627141,25255138
376.07,667.16,929.10,7794034,13826799,19255521
597.03,811.92,1240.93,6564361,8927053,13644017
625.48,1565.93,2300.50,6564361,16434458,24143787
288.45,847.29,1151.70,19693082,57846737,78630285
406.95,842.69,1121.55,13128721,27186150,36182439
643.15,1180.88,1584.21,6564673,12053233,16170009
646.99,895.80,1422.63,4967602,6877918,10922963
531.13,923.48,1219.76,9846541,17120313,22613068
565.04,1174.88,1426.40,8205451,17061587,20714181
522.57,926.51,1179.05,6633019,11760164,14965663
293.88,1005.44,1035.44,10612829,36309624,37392686
494.46,1013.78,1344.85,9846755,20188322,26781295
543.20,952.22,1397.18,9846541,17260935,25326671
432.01,845.35,1228.99,11487631,22478779,32680205
602.23,957.33,1408.83,6564361,10434881,15356201
548.68,1576.61,2433.98,4923270,14146957,21840086
601.09,1236.17,1379.98,8205451,16874939,18838143
269.21,787.02,1121.41,21334172,62369171,88868285
321.71,540.50,907.75,16410901,27571368,46305287
378.59,962.99,1563.59,11487631,29219939,47443936
473.31,839.67,1169.34,7794034,13826799,19255521
476.55,1115.43,1518.47,4923270,11523470,15687316
338.60,742.52,1273.26,51431810,112784747,193401474
391.98,681.46,1085.72,14769811,25677491,40909789
580.72,777.93,1266.91,8198662,10982864,17886202
581.34,1383.90,1424.12,8205546,19533720,20101407
436.67,870.03,1122.06,9846541,19618338,25301356
268.09,1282.75,1391.66,53072901,253938901,275500110
645.54,1024.37,1502.93,6642602,10540768,15465108
545.14,956.01,1259.83,8205451,14389854,18963023
1203.90,2135.74,2974.28,7794034,13826799,19255521
737.55,780.13,1580.64,5923270,6265231,12694091
1262.05,1406.37,2111.24,4923270,5486244,8235963
588.88,833.13,1322.77,8205451,11608848,18431449
443.52,971.71,1456.08,9846641,21572980,32326362
1318.85,1971.83,2484.70,4923270,7360827,9275389
1250.83,1458.85,2259.26,4923270,5742036,8892440
592.81,1044.60,1400.57,4923270,8675417,11631696
686.65,1036.82,1414.88,6564361,9912012,13526296
447.93,956.16,1122.09,11487631,24521679,28777124
323.08,971.87,1644.83,52807636,158850502,268846286
474.85,908.80,1386.26,4923270,9422425,14372751
533.21,859.16,1241.69,6564361,10577147,15286400
384.39,563.29,1038.32,16410901,24048560,44329023
300.34,1017.13,1774.69,18051986,61134504,106667950
584.59,877.73,1440.00,6564361,9856073,16169747
480.05,1031.02,1283.62,8205451,17623230,21940908
348.79,844.56,1121.74,16410901,39737414,52779087
965.44,1712.72,2385.18,7794034,13826799,19255521
472.23,4081.90,6880.01,8205451,70927101,119547086
1107.42,1964.59,2735.94,7794034,13826799,19255521
560.61,954.68,1309.70,4923270,8383956,11501825
509.50,978.61,1312.99,9846541,18912536,25374767
486.70,863.42,1202.42,7794034,13826799,19255521
581.40,927.09,1327.24,4923270,7850599,11239081
570.34,855.41,1470.98,8205451,12306829,21163042
523.14,724.26,1402.98,6587344,9119820,17666263
533.41,888.87,1263.39,13128722,21877862,31095869
344.97,875.34,1356.33,14769811,37477535,58071201
408.04,723.88,1008.09,7794034,13826799,19255521
742.29,1316.84,1833.86,7794034,13826799,19255521
560.48,1020.99,1364.81,8205451,14947356,19980879
367.56,1681.50,2088.11,14769811,67567602,83906630
589.00,918.34,1481.13,6564361,10234847,16507171
456.70,1149.94,1437.30,9846541,24792645,30988089
433.90,844.03,1131.57,11487631,22345817,29958336
636.95,979.18,1527.70,6564361,10091404,15744497
478.78,849.36,1182.84,7794034,13826799,19255521
468.57,852.88,1208.37,4923270,8961250,12696389
344.91,964.59,1357.92,18051992,50484969,71070887
594.60,899.25,1385.54,4923270,7445804,11472275
373.36,865.77,1152.78,13128721,30443775,40536297
657.65,785.35,1282.86,8205451,9798758,16006218
778.14,1084.88,1977.90,8205451,11440025,20856943
367.70,1603.50,2442.09,13246938,57767677,87978727
669.89,971.28,1542.60,8205484,11897167,18895304
470.90,848.83,1100.38,11487631,20707220,26843862
672.85,1000.04,1500.88,4923280,7317319,10981930
639.05,1259.17,2114.89,6564361,12934150,21724122
397.51,683.16,978.30,11487631,19742620,28272009
459.07,782.60,1128.98,9846541,16786068,24215463
421.36,717.13,1059.90,11492281,19558918,28907773
511.24,1003.12,1702.38,6405785,12569118,21330778
535.40,1014.05,1522.21,6623469,12544787,18831253
589.15,825.22,1216.70,9846541,13791831,20334782
647.63,1034.65,1528.45,4923270,7865374,11619284
740.56,1326.50,1765.34,4923270,8818601,11735948
662.17,946.17,1307.55,4923270,7034801,9721649
618.32,874.55,1444.27,4967602,7026173,11603293
475.95,877.10,1235.76,11487631,21169736,29826310
340.51,938.56,1416.38,13128721,36187305,54609857
615.04,822.65,1288.56,6564361,8780190,13752853
545.22,655.75,1035.44,8206036,9869685,15584387
460.56,891.31,1182.17,11487631,22232015,29486986
451.03,896.98,1236.56,9846541,19581965,26995428
593.31,880.84,1389.69,4923270,7309169,11531680
474.52,841.81,1172.33,7794034,13826799,19255521
473.96,1014.08,1354.00,9846541,21067465,28129273
585.41,785.52,1251.64,4923270,6606189,10526298
468.86,829.22,1341.90,9846541,17414359,28181263
389.36,812.31,1188.57,11487631,23966482,35067649
280.58,497.76,693.19,7794034,13826799,19255521
604.90,978.86,1421.08,6564361,10622586,15421508
242.24,976.99,1503.22,26257442,105901484,162943518
566.76,1005.44,1400.20,7794034,13826799,19255521
716.01,1003.74,1552.27,4923270,6901704,10673406
580.03,919.64,1313.45,9857693,15629203,22322025
547.58,742.52,1335.14,9846541,13351969,24008482
399.54,882.34,1348.37,13128721,28993672,44307562
525.05,1012.73,1336.66,8205451,15826990,20889393
489.37,903.78,1324.93,9846541,18185051,26658952
634.73,1067.89,1410.57,6564361,11044108,14588104
502.43,1000.09,1355.48,4923270,9799838,13282329
513.52,825.05,1204.84,6564361,10546551,15401501
512.86,990.91,1122.96,11487631,22195379,25153108
451.12,869.75,1235.58,3979811,7672949,10900309
402.21,622.57,1058.45,9846541,15241248,25911825
296.96,629.22,884.94,13274560,28126945,39557874
397.05,1689.71,2472.00,13128721,55872015,81739066
521.25,854.84,1422.78,8205451,13456889,22397344
61.40,108.93,151.70,7794034,13826799,19255521
501.86,987.37,1307.59,4923270,9686061,12827455
415.81,1192.99,1508.05,11487631,32958650,41662928
596.76,893.52,1308.93,8205451,12285947,17997753
601.04,936.65,1377.44,8205451,12787102,18804814
478.70,801.38,1437.43,11415176,19109607,34276874
316.80,562.02,782.68,7794034,13826799,19255521
421.91,782.84,1270.98,11487631,21315136,34606283
515.31,801.66,1201.85,4923270,7659074,11482504
502.21,799.05,1395.02,11487631,18277501,31909679
379.13,889.73,1258.34,14769811,34661029,49020979
544.53,905.35,1316.95,6564361,10913938,15875887
448.86,836.06,1546.53,9846541,18340551,33926246
395.78,723.18,978.04,13128721,23989332,32443541
429.67,676.78,1138.87,13167573,20740682,34901701
574.77,935.31,1524.79,8205451,13352553,21767961
345.36,889.38,1120.42,16410901,42261621,53239926
906.07,1607.39,2238.49,7794034,13826799,19255521
630.85,759.12,1210.88,8205451,9873896,15749939
553.86,917.96,1229.14,8205451,13599553,18209694
550.79,916.93,1251.28,6564361,10927982,14912801
397.42,863.24,1153.79,14769811,32081494,42879447
633.22,1176.02,1674.03,4923270,9143566,13015606
384.37,681.16,1026.82,11487631,20357718,30688495
609.90,1485.85,1724.09,8206827,19993655,23199325
147.68,707.77,1142.92,395143162,1893759057,3058053437
516.50,737.97,1081.15,9846541,14068569,20610979
607.08,886.30,1414.35,9142641,13347753,21300076
437.39,919.08,1473.08,11487631,24138684,38689104
1168.00,2072.05,2885.59,7794034,13826799,19255521
633.44,843.49,1283.78,6564361,8741048,13303796
387.99,643.50,1032.97,13128721,21774620,34953670
584.09,1036.18,1443.01,7794034,13826799,19255521
